StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q0,Q2,Q3,Q4,Q5,Q6,Q6_7_TEXT,Q7,Q8#1_1,Q8#1_2,Q8#1_3,Q8#2_1,Q8#2_2,Q8#2_3,QBhairav flute,Q2VrundavaniSarang,Q(Malkauns-flute),Q(Bhupali - flute),Q5GaudSarang-concert,Q(Bibhas - concert),Q7jaijaivant-concert,Q8Shankara,Q(Aeolian),Q(Dorian),Q(Ionian),Q(Lydian),Q(Mixolydian),Q(Phrygian),Q1aBhupali song,Q1b,Q2a,Q2b,Q3a(Malkauns song),Q3b,Q4a(Bhairav song),Q4b,Q,SC0
2021-11-25 14:19:01,2021-11-25 14:49:03,0,100,1802,1,2021-11-25 14:49:03,R_wSO7CefvxxJgxwZ,anonymous,EN,1,2,1,7,,2,,4,2,3,2,1,2,2,3,4,3,1,2,1,2,1,4,4,2,4,1,2,4,1,1,1,2,4,3,1,"It was difficult initially, but then it was becoming easier to choose. Perhaps it would be better to have shorter clips, so that the choices made are more instinctive. ",2
2021-11-25 19:37:41,2021-11-25 21:01:48,0,100,5047,1,2021-11-25 21:01:49,R_2AZ4GS6lsoveP8N,anonymous,EN,1,2,1,1,6,2,,5,2,2,2,1,1,1,1,1,3,1,3,2,2,2,3,2,3,3,2,2,2,1,2,1,1,1,3,1,Intersting,2
2021-11-25 19:42:56,2021-11-25 23:11:20,0,100,12503,1,2021-11-25 23:11:21,R_1mfJSv9yt174PxT,anonymous,EN,1,3,1,1,6,2,,5,2,2,1,1,1,1,1,1,1,4,2,1,1,1,3,4,4,4,3,4,1,4,2,4,1,4,2,4,"All these audio clipping were awesome, especially Indian classical music ones. I would love to include them as part of my morning yoga/walk regime. Good luck to u! ",4
2021-11-26 01:20:11,2021-11-26 01:31:33,0,100,681,1,2021-11-26 01:31:34,R_bPCgLE2xhBz66pH,anonymous,EN,1,2,1,7,6,2,,4,2,1,2,2,1,2,1,1,4,2,1,1,3,1,1,3,2,3,2,4,2,4,4,1,3,1,4,1,"It was quite fun to attempt but it was also hard to recognise most of the old filmy songs at the end!
~Suhani",4
2021-11-26 07:11:49,2021-11-26 07:18:15,0,100,386,1,2021-11-26 07:18:16,R_zYkjsBg8aqu8kpP,anonymous,EN,1,2,1,1,6,4,,5,1,1,1,1,1,1,2,1,4,1,2,2,3,3,1,1,2,4,2,3,3,1,1,1,2,1,2,1,Good musical tunes,4
2021-11-26 07:48:50,2021-11-26 08:24:41,0,100,2150,1,2021-11-26 08:24:41,R_1rJmGtRwVifF22b,anonymous,EN,1,5,7,,3,1,,4,1,1,2,1,1,1,1,3,4,1,4,1,2,3,4,1,3,4,2,3,4,1,3,1,4,1,4,1,I would be interested in hearing about your results.  I had a hard time deciding which time of day to choose.  I have never thought or felt any patterns associated with listening to a particular style of music at a certain time of day.,4
2021-11-26 08:40:49,2021-11-26 08:46:47,0,100,358,1,2021-11-26 08:46:48,R_1gIz1q6FSTsc18m,anonymous,EN,1,2,1,1,6,1,,4,3,2,3,2,1,3,1,2,1,3,4,1,4,2,3,4,3,4,1,4,3,1,2,1,3,4,4,4,Very interesting,6
2021-11-26 07:40:29,2021-11-26 10:01:26,0,100,8456,1,2021-11-26 10:01:26,R_3L4anpWLUo0nEBj,anonymous,EN,1,3,1,9,6,1,,5,3,1,1,3,1,1,1,1,2,1,1,1,4,3,1,2,1,3,4,3,4,4,1,4,1,4,4,1,"Very interested yet informative…luv those musical magical pieces…very calm & soothing ",2
2021-11-26 10:50:01,2021-11-26 10:54:24,0,100,263,1,2021-11-26 10:54:24,R_2aJkZAEONxbIc6z,anonymous,EN,1,2,1,1,,2,,5,3,2,1,1,1,1,1,3,1,1,3,2,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,Hard,2
2021-11-26 20:24:54,2021-11-26 20:41:21,0,100,987,1,2021-11-26 20:41:22,R_28Hy51zcgkQCfZ8,anonymous,EN,1,3,1,1,6,1,,4,2,1,3,4,1,4,3,3,1,1,2,1,3,2,4,3,4,4,3,3,4,4,1,4,1,1,3,4,"It was interesting survey which was all about instrumental 🎼 music & this helped my mind to think which music will relax my mind on what time of day bcoz too much sound will not good as per your mood or time. ",3
2021-11-26 22:08:23,2021-11-26 22:33:08,0,100,1484,1,2021-11-26 22:33:09,R_3D8Dj3iSFzvSNEU,anonymous,EN,1,2,1,1,6,7,12am -5:30am,4,3,1,2,3,1,1,4,1,3,3,3,1,2,2,4,3,1,2,1,4,1,4,1,1,3,4,3,1,It was interesting.... I wish you had this marking thing to let us know how well we know music.,2
2021-11-27 01:19:21,2021-11-27 01:32:03,0,100,762,1,2021-11-27 01:32:04,R_yloHzSkES2VYltD,anonymous,EN,1,2,1,1,6,7,1AM to 9AM,5,1,1,1,1,1,1,4,1,4,4,3,1,1,3,2,3,3,4,3,2,1,1,3,1,1,1,3,1,Interesting to see what kind of music maps to a time in day. Sort of realised most of my choices are based on tempo of music and time of day I associate that tempo with.,2
2021-11-27 07:18:07,2021-11-27 07:22:37,0,100,269,1,2021-11-27 07:22:37,R_3qqXpOyjFOOTdSw,anonymous,EN,1,2,1,1,3,2,,5,2,1,2,1,1,1,1,1,1,1,3,1,3,1,2,2,4,3,3,2,4,1,2,1,3,1,3,4,"It was interesting, a good balance of # of songs. ",4
2021-11-27 07:27:45,2021-11-27 07:33:20,0,100,334,1,2021-11-27 07:33:20,R_1Ka4XFRYSjr3Jos,anonymous,EN,1,2,1,1,3,2,,5,2,1,2,1,1,1,4,1,4,4,4,1,2,3,4,3,1,2,1,3,1,1,2,1,1,4,3,1,"Interesting research, would love to hear about the results!",3
2021-11-27 06:16:40,2021-11-27 09:04:10,0,100,10049,1,2021-11-27 09:04:10,R_9KnRgYaWReUpJLz,anonymous,EN,1,3,7,,3,1,,5,1,1,2,1,1,2,1,1,1,1,4,3,4,3,3,4,2,4,1,2,2,1,2,1,4,1,2,1,"I enjoyed the music. The categories are enough. ",3
2021-11-27 01:13:02,2021-11-27 20:06:11,0,100,67989,1,2021-11-27 20:06:12,R_ANeOmNvmQNIEAal,anonymous,EN,1,2,1,7,6,2,,4,1,2,1,1,2,1,4,1,4,2,3,4,1,3,4,3,1,4,1,3,1,1,1,1,3,1,4,1,It was interesting but abstract.,1
2021-11-28 06:40:22,2021-11-28 06:49:08,0,100,525,1,2021-11-28 06:49:08,R_1qf7JoJ1wnVqvP1,anonymous,EN,1,2,1,1,6,2,,5,1,1,1,1,1,1,4,1,4,1,2,3,2,3,3,4,3,3,2,3,2,1,2,1,2,1,3,1,It was hard,3
2021-11-28 08:50:45,2021-11-28 09:01:52,0,100,667,1,2021-11-28 09:01:52,R_3qfjgZcstFXUf4B,anonymous,EN,1,2,1,1,6,1,,4,1,1,1,1,1,1,3,4,3,4,1,3,1,2,2,3,2,3,1,4,3,1,1,1,2,1,4,1,"Very interesting.
Enjoyed giving a survey for the first time. :)",1
2021-11-28 09:50:43,2021-11-28 10:29:05,0,100,2302,1,2021-11-28 10:29:06,R_2ypfFUX2ufanKzX,anonymous,EN,1,2,1,8,6,4,,4,2,2,2,1,1,1,4,1,4,1,1,3,3,1,4,3,1,3,2,3,1,1,2,1,1,4,4,4,"Instead of dividing it between morning and afternoon, You can divide morning into two parts like around dawn/sunrise and 'after sunrise'
Because a majority of our time around afternoon goes in attending our work be it in academia or corporate world. Hence, it is difficult to comprehend whether I'd like to listen to something during afternoon.",3
2021-11-24 18:19:23,2021-11-24 20:23:35,0,42,7451,0,2021-12-01 20:23:37,R_1kY0CFBRogWRYKm,anonymous,EN,1,3,7,,3,1,,5,1,1,1,1,1,1,,1,3,,,2,1,,,,,,,,,,,,,,,,,0
2021-11-25 00:20:30,2021-11-25 00:21:16,0,27,45,0,2021-12-02 00:21:20,R_1TjPJHRt7XPMJSp,anonymous,EN,1,2,7,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-25 09:32:55,2021-11-25 09:38:57,0,30,361,0,2021-12-02 09:38:59,R_vBvtQCledKuX43v,anonymous,EN,1,2,1,1,6,4,,4,3,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-23 13:56:18,2021-11-25 11:30:12,0,30,164033,0,2021-12-02 11:30:16,R_2QQFYco2LX20WHH,anonymous,EN,1,4,7,,6,4,,5,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-26 05:43:44,2021-11-26 05:47:57,0,30,252,0,2021-12-03 05:48:00,R_3OejSehkqNVNFXQ,anonymous,EN,1,4,1,1,6,1,,4,3,3,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-24 13:46:46,2021-11-26 06:55:24,0,15,148117,0,2021-12-03 06:55:25,R_1QKq2W25sTp2iEn,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-26 08:35:22,2021-11-26 08:38:26,0,30,183,0,2021-12-03 08:38:28,R_3OfhOqxnf8KTinD,anonymous,EN,1,2,1,1,6,7,9:30 pm to 5 am,4,3,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-03 09:22:22,2021-12-03 09:55:00,0,100,1957,1,2021-12-03 09:55:01,R_AvbJ5H3PWVlYujf,anonymous,EN,1,3,7,,3,4,,4,2,1,3,1,1,4,4,3,3,1,2,2,1,3,3,3,3,4,1,2,2,1,2,1,1,1,3,1,"By recognizing some video game or movie songs, I associated the music with the act of playing or watching, and those actions are also attached to specific moments of the day on my affective memory. This became a bias on selecting the moment of the day I would prefer to listen to these songs. ",2
2021-11-26 11:27:42,2021-11-26 11:28:06,0,3,23,0,2021-12-03 11:28:06,R_3J90if5jamQwb8f,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-03 16:15:07,2021-12-03 16:22:52,0,100,465,1,2021-12-03 16:22:53,R_3PaTyyAZqXEbG6h,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-04 03:49:34,2021-12-04 04:02:59,0,100,805,1,2021-12-04 04:02:59,R_yQ5aMBskkq1gio9,anonymous,EN,1,4,7,,3,1,,4,2,1,3,1,1,3,4,1,3,4,3,2,3,2,3,3,1,2,1,2,1,4,1,1,3,1,3,1,Awaiting your findings! Thank you.,1
2021-11-27 04:27:29,2021-11-27 04:33:37,0,67,368,0,2021-12-04 04:33:45,R_ZK7qIXLBZfvJQ53,anonymous,EN,1,2,1,1,6,2,,4,2,1,2,2,1,2,1,1,1,1,1,1,3,3,3,,1,2,2,,,,,,,,,,,3
2021-12-04 06:37:18,2021-12-04 07:05:41,0,100,1703,1,2021-12-04 07:05:42,R_bd25o8zf5ipp6kV,anonymous,EN,1,5,7,,,2,,4,1,1,3,1,1,3,4,3,1,1,2,3,3,2,4,3,2,1,1,3,1,1,2,1,3,1,3,1,"Quite hard, though I really enjoyed the Indian (Carnatic?) music near the start. Tried to imagine listening to these sounds, and what time of day it might be. Didn't recognise any of the pieces...",3
2021-11-27 09:21:26,2021-11-27 09:29:35,0,55,489,0,2021-12-04 09:29:42,R_1U4VFQJeIIGMKFH,anonymous,EN,1,2,1,7,6,2,,4,2,3,2,2,2,1,3,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,2
2021-11-27 20:51:28,2021-11-27 21:13:31,0,97,1322,0,2021-12-04 21:13:38,R_1rwZuH32ab1H4LL,anonymous,EN,1,2,1,7,6,2,,4,3,2,2,4,2,3,2,1,3,3,3,4,1,1,4,2,2,1,1,2,3,4,2,1,1,4,3,1,,3
2021-11-30 19:37:56,2021-12-04 22:29:38,0,100,355901,1,2021-12-04 22:29:38,R_2D2HBhELPoyA0Qc,anonymous,EN,1,2,1,7,3,2,,5,1,2,3,1,1,3,4,2,3,4,1,1,1,1,3,1,2,1,2,3,2,1,3,1,1,1,4,1,"i found the survey very interesting! i think for me i could tell whether i wanted to listen to a clip in the day or night, but choosing between morning and afternoon and evening and night were hard to explain for me and i chose based on my gut instinct. ",2
2021-12-05 09:47:01,2021-12-05 10:14:14,0,100,1632,1,2021-12-05 10:14:14,R_3nAQZ6DRhbROE5E,anonymous,EN,1,2,7,,3,2,,5,1,1,2,1,1,1,3,3,1,1,2,3,2,1,3,2,2,3,2,3,3,1,2,1,3,1,3,1,"when I didn't (even just passively) enjoy the clip, I tended to put afternoon with a sort of emotional rationale of  ""it would be even more of a bother to listen in the morning or evening""",3
2021-11-28 19:34:41,2021-11-28 19:34:49,0,6,7,0,2021-12-05 19:34:51,R_3PFZeR0blTlSuA3,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-06 02:24:51,2021-12-06 03:00:10,0,100,2119,1,2021-12-06 03:00:11,R_1N9BGU87Nh2B0F4,anonymous,EN,1,2,7,,,4,,4,2,2,3,1,1,3,4,3,2,3,3,2,1,1,4,4,1,4,2,3,1,1,1,1,3,1,3,1,"Very interesting! Wondering if it's going towards cultural differences in perception and/or a combination with circadian rhyhm. Maybe I also would've asked ""how you perceived the sample or sample set"" e.g. stimulating/ soothing/ cheerful/ melancholic... I missed noon a bit tbh.",1
2021-12-06 03:58:25,2021-12-06 04:09:44,0,100,679,1,2021-12-06 04:09:45,R_1z5tKi0B8O954Qx,anonymous,EN,1,2,7,,,7,10pm - 7am,4,1,1,3,1,1,4,3,3,3,3,1,1,2,1,3,3,1,3,2,2,2,1,1,1,1,1,2,1,"i would love to have a ""none-button""",2
2021-12-06 16:19:31,2021-12-06 16:24:22,0,100,290,1,2021-12-06 16:24:22,R_2QYxheM5DZBJPbo,anonymous,EN,1,2,7,,3,1,,4,1,1,3,1,1,3,3,2,3,3,1,1,2,1,3,1,2,4,1,4,1,1,2,1,1,1,2,1,Please submit links to the music. It was very good!,4
2021-12-06 23:10:55,2021-12-06 23:28:39,0,100,1064,1,2021-12-06 23:28:39,R_Om9RXcH14NNIpcl,anonymous,EN,1,3,7,,3,4,,5,1,1,3,1,1,1,1,4,1,3,2,4,2,4,1,4,1,3,2,2,3,1,1,1,4,1,3,1,"I was just surprised with the clips available to be listened to, the Indian music sounds diverse and beautiful! 

About my personal experience while filing this form: it was quite interesting, because in our day by day life is not very common to have a moment when you just stop, listen to a song and try to think about what you feel while the song is playing and how do you feel it, it was a really interesting experience. So, with this, I must say that it was very pleasant to fill this form.

I wish I could follow the next steps of this research! I am really excited to know what conclusions you are going to have, according to your research question.

Good luck! :)",6
2021-12-07 03:02:30,2021-12-07 03:09:40,0,100,429,1,2021-12-07 03:09:40,R_1gMc5M1K5Tbk9X6,anonymous,EN,1,2,7,,4,1,,5,1,1,1,1,1,1,4,3,1,1,2,4,3,2,4,4,3,1,1,4,4,1,3,1,4,1,1,1,"It was kind of difficult, but I just let my mind flow ",4
2021-12-07 03:21:47,2021-12-07 03:31:41,0,100,593,1,2021-12-07 03:31:41,R_2V4iBDRhbhCsl5l,anonymous,EN,1,3,7,,4,2,,5,1,2,3,1,1,2,3,4,1,4,1,1,3,1,4,1,2,1,1,4,1,1,2,1,1,1,3,1,"Hi!
Samples to long and too many questions ",3
2021-12-07 05:50:48,2021-12-07 06:58:36,0,100,4068,1,2021-12-07 06:58:36,R_1qVU0ukMckLh8H7,anonymous,EN,1,3,7,,4,4,,4,1,1,3,1,1,4,3,1,2,1,4,3,4,3,2,1,4,1,3,3,2,1,4,1,2,1,3,1,"I loved it!
For me, it wasn't so hard to figure out and match the moods with my routine. I'm not an intimate of Indian music, but I always liked the sensations that it can bring. Also, thumbs up for the Chrono Trigger track – that's a true gem for our ears.",0
2021-11-29 11:28:10,2021-11-30 08:33:06,0,3,75895,0,2021-12-07 08:33:09,R_6nFpQgZDv9S2a7D,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-07 09:07:15,2021-12-07 09:39:00,0,100,1905,1,2021-12-07 09:39:01,R_1H6ul9Uj6QjK8za,anonymous,EN,1,3,7,,4,4,,4,1,1,3,1,1,4,1,4,4,4,3,1,1,1,4,3,1,3,2,3,2,1,2,1,4,1,3,1,Interesting,5
2021-12-07 09:28:31,2021-12-07 09:58:30,0,100,1798,1,2021-12-07 09:58:30,R_21EvBgJYtvDLBcp,anonymous,EN,1,4,7,,,2,,4,1,1,3,1,1,4,1,2,3,4,1,2,2,2,4,4,1,2,2,2,3,1,2,1,3,1,3,1,it was a little too long and each clip maybe ~20% too long for focussed attention,4
2021-12-07 10:46:06,2021-12-07 10:53:45,0,100,458,1,2021-12-07 10:53:45,R_3j7jpUwQPlxsGlN,anonymous,EN,1,2,7,,4,2,,4,1,2,3,2,3,3,4,1,4,1,1,1,1,4,4,4,2,1,1,4,1,1,1,1,1,1,3,1,"I found the survey very interesting, but for me it was a little difficult to answer as I have very limited knowledge in the area. I love listening to music but I don't play any instruments.",3
2021-12-07 10:46:01,2021-12-07 10:56:38,0,100,636,1,2021-12-07 10:56:38,R_RI8UnY1PLJwiuVr,anonymous,EN,1,2,7,,4,2,,4,2,2,3,1,1,3,4,3,3,3,1,1,1,1,1,4,2,4,1,4,2,1,2,1,4,1,4,1,"It was interesting, but quite abstract",4
2021-12-07 10:50:56,2021-12-07 11:03:28,0,100,751,1,2021-12-07 11:03:28,R_b2UXtQFE867i1X3,anonymous,EN,1,3,7,,4,2,,5,1,1,1,1,1,1,4,1,1,1,2,2,2,3,4,3,4,3,2,4,1,1,2,1,1,1,1,1,very hard and abstract.,3
2021-12-07 10:33:01,2021-12-07 11:12:05,0,100,2343,1,2021-12-07 11:12:05,R_1CpQ5E669Dg9jDU,anonymous,EN,1,3,7,,4,4,,5,1,1,2,1,1,1,1,4,3,4,3,1,3,1,4,1,3,2,2,3,2,1,4,1,3,1,4,1,It was awesome to make conections and interesting cause I could understand that usually I create a story in my mind and I relate the time with that story. So It was also something that helped me understand how I use music.,3
2021-12-07 11:16:46,2021-12-07 11:27:42,0,100,655,1,2021-12-07 11:27:42,R_2zZQ9q2fPFYwfLA,anonymous,EN,1,3,7,,4,2,,4,1,1,2,1,1,2,4,2,1,1,3,2,3,1,1,4,2,4,1,3,4,1,2,1,4,1,3,1,"Short, sweet and fun! Would love to see the results. It was harder to abstract songs that were more unfamiliar (Indian in my case)",4
